Epoch [1/60], Train Loss: 403.2564, Train Acc: 81.97%, Valid Loss: 0.2353, Valid Acc: 88.86%
Epoch [2/60], Train Loss: 0.1603, Train Acc: 94.59%, Valid Loss: 0.0937, Valid Acc: 97.25%
Epoch [3/60], Train Loss: 0.0968, Train Acc: 96.78%, Valid Loss: 0.0599, Valid Acc: 97.62%
Epoch [4/60], Train Loss: 0.0767, Train Acc: 97.66%, Valid Loss: 0.0482, Valid Acc: 98.75%
Epoch [5/60], Train Loss: 0.0591, Train Acc: 97.94%, Valid Loss: 0.1293, Valid Acc: 95.12%
Epoch [6/60], Train Loss: 0.0884, Train Acc: 97.25%, Valid Loss: 0.5047, Valid Acc: 81.73%
Epoch [7/60], Train Loss: 0.0650, Train Acc: 97.94%, Valid Loss: 0.0350, Valid Acc: 99.37%
Epoch [8/60], Train Loss: 0.0843, Train Acc: 97.66%, Valid Loss: 0.0409, Valid Acc: 98.87%
Epoch [9/60], Train Loss: 0.0483, Train Acc: 98.38%, Valid Loss: 0.0412, Valid Acc: 98.50%
Epoch [10/60], Train Loss: 1.1730, Train Acc: 93.72%, Valid Loss: 0.0444, Valid Acc: 98.37%
Epoch [11/60], Train Loss: 0.0507, Train Acc: 98.38%, Valid Loss: 0.3404, Valid Acc: 91.49%
Epoch [12/60], Train Loss: 0.0787, Train Acc: 97.62%, Valid Loss: 0.0316, Valid Acc: 98.87%
Epoch [13/60], Train Loss: 0.0436, Train Acc: 98.75%, Valid Loss: 0.0365, Valid Acc: 99.00%
Epoch [14/60], Train Loss: 0.0486, Train Acc: 98.84%, Valid Loss: 0.0258, Valid Acc: 99.37%
Epoch [15/60], Train Loss: 0.0727, Train Acc: 97.56%, Valid Loss: 0.0442, Valid Acc: 98.37%
Epoch [16/60], Train Loss: 0.1281, Train Acc: 97.59%, Valid Loss: 0.0367, Valid Acc: 98.62%
Epoch [17/60], Train Loss: 0.0425, Train Acc: 98.59%, Valid Loss: 0.0398, Valid Acc: 98.75%
Epoch [18/60], Train Loss: 0.0490, Train Acc: 98.66%, Valid Loss: 0.0259, Valid Acc: 99.50%
Epoch [19/60], Train Loss: 0.0374, Train Acc: 98.81%, Valid Loss: 0.0223, Valid Acc: 99.62%
Epoch [20/60], Train Loss: 0.2507, Train Acc: 97.09%, Valid Loss: 0.0412, Valid Acc: 98.87%
Epoch [21/60], Train Loss: 0.0397, Train Acc: 98.75%, Valid Loss: 0.0205, Valid Acc: 99.62%
Epoch [22/60], Train Loss: 0.0277, Train Acc: 99.19%, Valid Loss: 0.0243, Valid Acc: 99.37%
Epoch [23/60], Train Loss: 0.0267, Train Acc: 99.25%, Valid Loss: 0.0302, Valid Acc: 99.37%
Epoch [24/60], Train Loss: 0.0430, Train Acc: 98.81%, Valid Loss: 0.0102, Valid Acc: 99.62%
Epoch [25/60], Train Loss: 0.0341, Train Acc: 99.06%, Valid Loss: 0.0262, Valid Acc: 99.37%
Epoch [26/60], Train Loss: 0.0520, Train Acc: 98.66%, Valid Loss: 0.0232, Valid Acc: 99.37%
Epoch [27/60], Train Loss: 0.0290, Train Acc: 99.28%, Valid Loss: 0.0220, Valid Acc: 99.62%
Epoch [28/60], Train Loss: 0.6555, Train Acc: 97.66%, Valid Loss: 0.0246, Valid Acc: 99.25%
Epoch [29/60], Train Loss: 0.0224, Train Acc: 99.25%, Valid Loss: 0.0246, Valid Acc: 99.62%
Epoch [30/60], Train Loss: 0.0258, Train Acc: 99.41%, Valid Loss: 0.0301, Valid Acc: 99.62%
Epoch [31/60], Train Loss: 0.0258, Train Acc: 99.25%, Valid Loss: 0.0288, Valid Acc: 99.62%
Epoch [32/60], Train Loss: 0.0224, Train Acc: 99.38%, Valid Loss: 0.0242, Valid Acc: 99.50%
Epoch [33/60], Train Loss: 0.1006, Train Acc: 98.41%, Valid Loss: 0.0661, Valid Acc: 99.37%
Epoch [34/60], Train Loss: 0.0511, Train Acc: 98.81%, Valid Loss: 0.0482, Valid Acc: 99.37%
Epoch [35/60], Train Loss: 0.0252, Train Acc: 99.19%, Valid Loss: 0.0114, Valid Acc: 99.75%
Epoch [36/60], Train Loss: 0.0296, Train Acc: 99.22%, Valid Loss: 0.0552, Valid Acc: 99.50%
Epoch [37/60], Train Loss: 0.0347, Train Acc: 98.94%, Valid Loss: 0.0445, Valid Acc: 99.37%
Epoch [38/60], Train Loss: 0.0636, Train Acc: 98.75%, Valid Loss: 0.0303, Valid Acc: 99.62%
Epoch [39/60], Train Loss: 0.0258, Train Acc: 99.22%, Valid Loss: 0.0295, Valid Acc: 99.37%
Epoch [40/60], Train Loss: 0.0258, Train Acc: 99.25%, Valid Loss: 0.0634, Valid Acc: 99.62%
Epoch [41/60], Train Loss: 0.0677, Train Acc: 99.03%, Valid Loss: 0.0321, Valid Acc: 99.62%
Epoch [42/60], Train Loss: 0.0326, Train Acc: 99.34%, Valid Loss: 0.0605, Valid Acc: 97.75%
Epoch [43/60], Train Loss: 0.0343, Train Acc: 99.06%, Valid Loss: 0.0399, Valid Acc: 99.50%
Epoch [44/60], Train Loss: 0.0354, Train Acc: 99.22%, Valid Loss: 0.0538, Valid Acc: 99.50%
Epoch [45/60], Train Loss: 0.0420, Train Acc: 99.34%, Valid Loss: 0.0205, Valid Acc: 99.87%
Epoch [46/60], Train Loss: 0.0353, Train Acc: 99.22%, Valid Loss: 0.0288, Valid Acc: 99.62%
Epoch [47/60], Train Loss: 0.0184, Train Acc: 99.56%, Valid Loss: 0.0347, Valid Acc: 99.75%
Epoch [48/60], Train Loss: 0.0250, Train Acc: 99.25%, Valid Loss: 0.0249, Valid Acc: 99.75%
Epoch [49/60], Train Loss: 0.0129, Train Acc: 99.72%, Valid Loss: 0.0335, Valid Acc: 99.62%
Epoch [50/60], Train Loss: 0.0195, Train Acc: 99.53%, Valid Loss: 0.0277, Valid Acc: 99.75%
